Date,Open,High,Low,Close,id,ATR,RSI
,0.998199,1.001,0.998199,0.999733,usd-coin,0.0027818175397343646,50.08094323283982
,1.001,1.001,0.999678,0.999678,usd-coin,0.002677544858324763,49.928390156682056
,1.0,1.002,1.0,1.0,usd-coin,0.0026521487970158544,50.87192103488069
,0.999801,0.999937,0.999304,0.999798,usd-coin,0.0025124238829432955,50.23243803834886
,1.0,1.0,0.999347,0.999347,usd-coin,0.00237960789130449,48.75872455834139
,1.0,1.0,0.999417,0.999524,usd-coin,0.0022562787562113136,49.38631763205081
,1.0,1.0,0.999635,0.999805,usd-coin,0.0021291159879105077,50.42442835807342
,1.0,1.001,0.999369,1.001,usd-coin,0.002093536274488324,54.68137974659537
,0.999739,0.999752,0.999633,0.999752,usd-coin,0.002041640826310579,49.8656327962932
,1.0,1.0,0.999778,0.999778,usd-coin,0.0019135236244312538,49.964498553394115
,0.999672,1.0,0.999402,0.999822,usd-coin,0.001819557651257592,50.14368063777574
,0.999623,1.001,0.999623,0.999758,usd-coin,0.0017879463904534676,49.863966043350615
,1.0,1.0,0.999008,1.0,usd-coin,0.001731093076849648,50.97752753628917
,1.0,1.001,0.999034,1.001,usd-coin,0.0017478721427889527,55.387077058069934
,1.0,1.0,0.999468,0.999706,usd-coin,0.0017324527040183037,49.21772558178801
,0.999549,1.002,0.999549,1.001,usd-coin,0.0017837775108741378,54.656832600318054
,0.999957,1.0,0.999496,1.0,usd-coin,0.001763793402954545,50.183541417244165
,1.0,1.003,0.999738,0.999738,usd-coin,0.0018708081598863544,49.0508407943686
,0.999629,1.0,0.999629,0.999814,usd-coin,0.0017636790056087585,49.407568116241656
,1.0,1.0,0.999861,0.999861,usd-coin,0.0016509876480652773,49.64238722479654
,1.0,1.0,0.999688,0.999688,usd-coin,0.0015553456732034703,48.74554562665837
,0.999975,0.999975,0.999975,0.999975,usd-coin,0.0014647495536889315,50.348123812143164
,1.0,1.0,1.0,1.0,dai,0.0,
,0.999134,1.0,0.999134,0.999337,dai,6.185714285714524e-05,
,0.999832,1.0,0.999832,1.0,dai,0.00010479591836734695,
,1.0,1.0,0.99932,0.999801,dai,0.00014588192419825172,
,1.0,1.001,0.999728,1.0,dai,0.000226318929612658,
